Data,Transformação Mineral - aço bruto - produção - Tonelada - Instituto Brasileiro de Siderurgia- Informe Estatístico (IBS/IE) - IBSIE12_QSCAB12,
1980.01,1220.1,
1980.02,1172.3,
1980.03,1271.1,
1980.04,1250.1,
1980.05,1330,
1980.06,1266.6,
1980.07,1313.3,
1980.08,1289.4,
1980.09,1262.6,
1980.10,1351,
1980.11,1321,
1980.12,1289.6,
1981.01,1308.9,
1981.02,1197.6,
1981.03,1296.3,
1981.04,1136.4,
1981.05,1184.5,
1981.06,1052.6,
1981.07,980.9,
1981.08,1012.4,
1981.09,992.2,
1981.10,1022.2,
1981.11,970.3,
1981.12,1071.2,
1982.01,1073.4,
1982.02,994.9,
1982.03,1011.3,
1982.04,976.6,
1982.05,1071.4,
1982.06,1055.7,
1982.07,1238.1,
1982.08,1210.9,
1982.09,1174.7,
1982.10,1172.1,
1982.11,1069.2,
1982.12,946.9,
1983.01,1059.6,
1983.02,917.7,
1983.03,1128.4,
1983.04,1159.9,
1983.05,1246.4,
1983.06,1199.9,
1983.07,1278.2,
1983.08,1309.8,
1983.09,1286.7,
1983.10,1324.7,
1983.11,1313.5,
1983.12,1446.6,
1984.01,1464.5,
1984.02,1376.6,
1984.03,1522.6,
1984.04,1533.6,
1984.05,1590.9,
1984.06,1475.2,
1984.07,1581,
1984.08,1633.5,
1984.09,1514.6,
1984.10,1586,
1984.11,1527.7,
1984.12,1579.5,
1985.01,1490.1,
1985.02,1424.3,
1985.03,1669.4,
1985.04,1564.2,
1985.05,1760.3,
1985.06,1690.1,
1985.07,1857.9,
1985.08,1797.1,
1985.09,1775.6,
1985.10,1795.2,
1985.11,1765.2,
1985.12,1866.1,
1986.01,1769.4,
1986.02,1583.6,
1986.03,1738.2,
1986.04,1635.8,
1986.05,1819.3,
1986.06,1715.1,
1986.07,1667.3,
1986.08,1824.4,
1986.09,1891.2,
1986.10,1931.2,
1986.11,1788.6,
1986.12,1869.2,
1987.01,1896.9,
1987.02,1727.1,
1987.03,1724.9,
1987.04,1646.8,
1987.05,1737.1,
1987.06,1684.8,
1987.07,1843.2,
1987.08,1928.3,
1987.09,1985.1,
1987.10,2036.6,
1987.11,2006,
1987.12,1991.1,
1988.01,2052.5,
1988.02,1911.4,
1988.03,2109.7,
1988.04,1904.4,
1988.05,1920.2,
1988.06,1993.4,
1988.07,2103.4,
1988.08,2178.8,
1988.09,2195.9,
1988.10,2244.8,
1988.11,1904.2,
1988.12,2138.2,
1989.01,2141.5,
1989.02,1996.6,
1989.03,2121.6,
1989.04,2069.3,
1989.05,2004.7,
1989.06,1975.7,
1989.07,2101.8,
1989.08,2220.7,
1989.09,2136.9,
1989.10,2155.4,
1989.11,2045.4,
1989.12,2085.5,
1990.01,1963.3,
1990.02,1727.9,
1990.03,1892.1,
1990.04,1467.7,
1990.05,1540.7,
1990.06,1515.8,
1990.07,1627.8,
1990.08,1550.6,
1990.09,1804.5,
1990.10,1904.3,
1990.11,1732.8,
1990.12,1839.1,
1991.01,1845.3,
1991.02,1694.1,
1991.03,1914.5,
1991.04,1870.1,
1991.05,1930.8,
1991.06,1705,
1991.07,1866.9,
1991.08,1990.7,
1991.09,1996.4,
1991.10,2033.2,
1991.11,1945.7,
1991.12,1825.6,
1992.01,1925.9,
1992.02,1877.9,
1992.03,2036,
1992.04,1949.4,
1992.05,2059.4,
1992.06,1950.4,
1992.07,2024.9,
1992.08,2079,
1992.09,1928.9,
1992.10,2009.7,
1992.11,2032.7,
1992.12,2021.8,
1993.01,1999.4,
1993.02,1875.1,
1993.03,2005.4,
1993.04,2080.4,
1993.05,2151.2,
1993.06,2142,
1993.07,2193.2,
1993.08,2216.2,
1993.09,2142,
1993.10,2185.3,
1993.11,2130.3,
1993.12,2082.2,
1994.01,2134.3,
1994.02,1963.1,
1994.03,2171.2,
1994.04,2147.7,
1994.05,2252.4,
1994.06,2220.3,
1994.07,2240.8,
1994.08,2095.3,
1994.09,1999.7,
1994.10,2158.6,
1994.11,2118.8,
1994.12,2219.2,
1995.01,2136,
1995.02,1921.9,
1995.03,2193.8,
1995.04,1912.2,
1995.05,2046.9,
1995.06,1986.2,
1995.07,2225.7,
1995.08,2294.9,
1995.09,2079.1,
1995.10,2156.3,
1995.11,2016.9,
1995.12,2028.2,
1996.01,2050.1,
1996.02,1960.2,
1996.03,2042.6,
1996.04,1888.6,
1996.05,1950.5,
1996.06,2062,
1996.07,2229.5,
1996.08,2230.1,
1996.09,2181.8,
1996.10,2238.8,
1996.11,2194.5,
1996.12,2182.3,
1997.01,2047.9,
1997.02,2015.4,
1997.03,2217.2,
1997.04,2191.7,
1997.05,2240.6,
1997.06,2261.5,
1997.07,2252.1,
1997.08,2267.8,
1997.09,2227.5,
1997.10,2140.9,
1997.11,2088.3,
1997.12,2200.2,
1998.01,2156.7,
1998.02,1992.3,
1998.03,2158.9,
1998.04,2138.7,
1998.05,2258.9,
1998.06,2181.1,
1998.07,2378,
1998.08,2349.2,
1998.09,2122.4,
1998.10,2131,
1998.11,1995.1,
1998.12,1890,
1999.01,2026.6,
1999.02,1888.8,
1999.03,2129.6,
1999.04,2123,
1999.05,2176.6,
1999.06,2046.7,
1999.07,2039.2,
1999.08,2136.9,
1999.09,2088.7,
1999.10,2036.8,
1999.11,2143.8,
1999.12,2121.7,
2000.01,2187.2,
2000.02,2157.7,
2000.03,2349.6,
2000.04,2201.5,
2000.05,2447.7,
2000.06,2294.6,
2000.07,2284.9,
2000.08,2439.5,
2000.09,2378.3,
2000.10,2397.7,
2000.11,2310.2,
2000.12,2398.3,
2001.01,2394.1,
2001.02,2240.3,
2001.03,2473.9,
2001.04,2315.2,
2001.05,2282.8,
2001.06,1772.8,
2001.07,1881.6,
2001.08,2194.4,
2001.09,2299.1,
2001.10,2278.8,
2001.11,2222.6,
2001.12,2361.4,
2002.01,2382.4,
2002.02,2259.8,
2002.03,2409.2,
2002.04,2215.3,
2002.05,2450.1,
2002.06,2420.2,
2002.07,2498.3,
2002.08,2580.4,
2002.09,2579,
2002.10,2644.8,
2002.11,2575.6,
2002.12,2588.5,
2003.01,2539.6,
2003.02,2356.4,
2003.03,2640.9,
2003.04,2522.2,
2003.05,2671.7,
2003.06,2591,
2003.07,2685.9,
2003.08,2769.4,
2003.09,2595.4,
2003.10,2508,
2003.11,2592,
2003.12,2657.2,
2004.01,2677,
2004.02,2572.7,
2004.03,2742.9,
2004.04,2667.1,
2004.05,2745.5,
2004.06,2749.2,
2004.07,2835.5,
2004.08,2890.5,
2004.09,2801.4,
2004.10,2706.4,
2004.11,2757.3,
2004.12,2791.2,
2005.01,2589.8,
2005.02,2590.2,
2005.03,2761.3,
2005.04,2758.4,
2005.05,2743.4,
2005.06,2490.8,
2005.07,2491.2,
2005.08,1963.2,
2005.09,2588.6,
2005.10,2675.6,
2005.11,2636.7,
2005.12,2656.1,
2006.01,2576.8,
2006.02,2130.7,
2006.03,2478.7,
2006.04,2416.3,
2006.05,2496.1,
2006.06,2380.4,
2006.07,2723.9,
2006.08,2812.1,
2006.09,2757.1,
2006.10,2787,
2006.11,2704.5,
2006.12,2646.4,
2007.01,2703.3,
2007.02,2130.7,
2007.03,2785,
2007.04,2707.8,
2007.05,2900.6,
2007.06,2732.6,
2007.07,2868.6,
2007.08,2939.6,
2007.09,2867.8,
2007.10,2898.8,
2007.11,2871.6,
2007.12,3010.9,
2008.01,2971,
2008.02,2709.6,
2008.03,2960,
2008.04,2900.4,
2008.05,2972.3,
2008.06,2933.8,
2008.07,3198.2,
2008.08,3141.9,
2008.09,3009.8,
2008.10,2897.3,
2008.11,2323.6,
2008.12,1646,
2009.01,1616.6,
2009.02,1653.8,
2009.03,1731,
2009.04,1728.5,
2009.05,1731,
2009.06,1941.6,
2009.07,2495.9,
2009.08,2676.4,
2009.09,2716.9,
2009.10,2797,
2009.11,2675.5,
2009.12,2579.5,
2010.01,2751.1,
2010.02,2445.7,
2010.03,2828.5,
2010.04,2707.4,
2010.05,2856,
2010.06,2850,
2010.07,2852.8,
2010.08,2917.3,
2010.09,2703.3,
2010.10,2927.7,
2010.11,2599.6,
2010.12,2407,
2011.01,2795.6,
2011.02,2676.5,
2011.03,3046.8,
2011.04,2988.1,
2011.05,3276.4,
2011.06,2862.2,
2011.07,3121,
2011.08,3062.2,
2011.09,2859.2,
2011.10,2890.9,
2011.11,2741.1,
2011.12,2705.7,
2012.01,2811.1,
2012.02,2806.2,
2012.03,3112.8,
2012.04,3028.9,
2012.05,2886.7,
2012.06,2762.4,
2012.07,3001.2,
2012.08,2871,
2012.09,2863.8,
2012.10,3153.8,
2012.11,2843.5,
2012.12,2791,
2013.01,2769.437,
2013.02,2574.894,
2013.03,2858.521,
2013.04,2913.622,
2013.05,2999.775,
2013.06,2836.535,
2013.07,2918.241,
2013.08,2976.77,
2013.09,2981.309,
2013.10,2980.32,
2013.11,2727.159,
2013.12,2625.874,
2014.01,2763.104,
2014.02,2621.952,
2014.03,2979.472,
2014.04,2773.487,
2014.05,2891.691,
2014.06,2718.474,
2014.07,2969.407,
2014.08,2963.39,
2014.09,2874.88,
2014.10,3052.4,
