index_date,crude_steel_(thousand_ton),pig_iron_(thousand_ton)
2000-01-01,2155.44689306534,2176.19055196995
2000-02-01,2256.89563857574,2282.26444407489
2000-03-01,2267.68254496484,2250.5152658939
2000-04-01,2327.50640416368,2346.92672184776
2000-05-01,2391.70981379933,2313.88482159677
2000-06-01,2364.12918332868,2351.75908333273
2000-07-01,2322.55467771245,2323.24344869104
2000-08-01,2376.94407547215,2326.39530807164
2000-09-01,2371.75235315761,2324.73362714525
2000-10-01,2335.25057860069,2339.56041712978
2000-11-01,2325.69441853794,2394.57113892186
2000-12-01,2346.31033575013,2214.7599726852
2001-01-01,2365.35369291944,2455.05125451852
2001-02-01,2346.36447018919,2428.40019016856
2001-03-01,2397.46150382473,2443.39687139909
2001-04-01,2436.08298905047,2498.34292068194
2001-05-01,2232.57861165655,2266.10101282084
2001-06-01,1838.61782557341,1967.94365298801
2001-07-01,1908.67817192577,1977.43387123805
2001-08-01,2123.93000408748,2188.5229368033
2001-09-01,2291.07458431875,2294.51636674503
2001-10-01,2223.56282451027,2244.39851207936
2001-11-01,2236.57091047732,2285.8265388882
2001-12-01,2311.22092054137,2329.05141605385
2002-01-01,2355.02178827428,2349.06898685664
2002-02-01,2378.81347162237,2352.86402964317
2002-03-01,2341.64846510033,2376.30543073422
2002-04-01,2325.63792380218,2320.9301973417
2002-05-01,2407.80298478292,2472.33379822985
2002-06-01,2487.03981293423,2479.19793076885
2002-07-01,2505.20444841295,2504.490414145
2002-08-01,2501.63298587975,2520.35313151049
2002-09-01,2570.78489425408,2578.64926087698
2002-10-01,2594.29962021876,2577.60143707805
2002-11-01,2582.5214046767,2575.69191341174
2002-12-01,2538.3324886172,2561.08071721946
2003-01-01,2512.50534501143,2521.28929421958
2003-02-01,2495.1423043672,2548.24342873079
2003-03-01,2591.13914839945,2631.74667946828
2003-04-01,2621.81190149415,2622.02442843337
2003-05-01,2641.16737292794,2707.76228198235
2003-06-01,2664.06262376864,2771.11910345813
2003-07-01,2664.99261545221,2753.51232467495
2003-08-01,2677.40858347085,2758.88094163862
2003-09-01,2578.96241729601,2691.54096678448
2003-10-01,2458.69375106418,2573.23977657387
2003-11-01,2588.76294300176,2693.40048552258
2003-12-01,2613.81515411589,2731.74565037542
2004-01-01,2653.94903074096,2844.96969805815
2004-02-01,2743.79483004485,2862.26748399167
2004-03-01,2708.26360267523,2851.20167350894
2004-04-01,2752.9638691099,2911.15074016951
2004-05-01,2717.28157008888,2861.17438149522
2004-06-01,2833.70278847659,2980.88008063356
2004-07-01,2788.52940274067,2891.10605420402
2004-08-01,2783.36273566058,2852.05673676458
2004-09-01,2778.42535814124,2876.34528439891
2004-10-01,2654.43545114428,2822.53332285582
2004-11-01,2747.45709870561,2879.78238201907
2004-12-01,2751.61653566432,2915.50280140334
2005-01-01,2570.85899155431,2849.48243730707
2005-02-01,2791.47920683606,2988.72816800868
2005-03-01,2743.68598804638,2935.07605327201
2005-04-01,2835.79029837839,3072.17484083269
2005-05-01,2718.56990429319,2985.17809307624
2005-06-01,2580.8985626024,2614.33540400014
2005-07-01,2423.89708326747,2839.44855974264
2005-08-01,1836.54455309194,2832.19877779123
2005-09-01,2549.92499934372,2807.16935399706
2005-10-01,2625.8470427701,2886.81742329451
2005-11-01,2626.04536439485,2802.89853798668
2005-12-01,2626.32597355256,2721.56276004361
2006-01-01,2566.18737351965,2621.01469332052
2006-02-01,2358.01931288767,2458.27220975677
2006-03-01,2467.33874464584,2550.56437597612
2006-04-01,2482.28816889919,2629.91454722198
2006-05-01,2470.46663857,2504.81250558747
2006-06-01,2471.1035352861,2525.94000471175
2006-07-01,2649.4168325068,2829.63115347975
2006-08-01,2673.38715990909,2827.23013225143
2006-09-01,2704.59156682525,2855.75081002281
2006-10-01,2731.0300302854,2844.01124695586
2006-11-01,2698.76306588107,2828.05346680983
2006-12-01,2631.12325090279,2801.22871721298
2007-01-01,2697.40337805339,2881.3285687185
2007-02-01,2379.84793239796,2695.52584288411
2007-03-01,2774.65842062175,2930.48841991714
2007-04-01,2769.19698656764,2839.5969733872
2007-05-01,2877.1701900922,3018.20950066594
2007-06-01,2806.72760115875,2926.970226578
2007-07-01,2788.31697556163,2933.12123803285
2007-08-01,2788.41807892877,2981.26502951336
2007-09-01,2806.25373307337,2946.69644096369
