index_date,crude_steel_(thousand_ton)_observed,crude_steel_(thousand_ton)_fitted,crude_steel_(thousand_ton)_predicted,std_error,ci_95_lower,ci_95_upper
2000-01-01,2155.44689306534,,,,,
2000-02-01,2256.89563857574,,,,,
2000-03-01,2267.68254496484,,,,,
2000-04-01,2327.50640416368,,,,,
2000-05-01,2391.70981379933,,,,,
2000-06-01,2364.12918332868,,,,,
2000-07-01,2322.55467771245,,,,,
2000-08-01,2376.94407547215,,,,,
2000-09-01,2371.75235315761,,,,,
2000-10-01,2335.25057860069,,,,,
2000-11-01,2325.69441853794,,,,,
2000-12-01,2346.31033575013,,,,,
2001-01-01,2365.35369291944,,,,,
2001-02-01,2346.36447018919,,,,,
2001-03-01,2397.46150382473,,,,,
2001-04-01,2436.08298905047,,,,,
2001-05-01,2232.57861165655,,,,,
2001-06-01,1838.61782557341,,,,,
2001-07-01,1908.67817192577,,,,,
2001-08-01,2123.93000408748,,,,,
2001-09-01,2291.07458431875,,,,,
2001-10-01,2223.56282451027,,,,,
2001-11-01,2236.57091047732,,,,,
2001-12-01,2311.22092054137,,,,,
2002-01-01,2355.02178827428,2318.113050132594,,,,
2002-02-01,2378.81347162237,2340.3443167234727,,,,
2002-03-01,2341.64846510033,2378.681112143382,,,,
2002-04-01,2325.63792380218,2308.784350433882,,,,
2002-05-01,2407.80298478292,2453.8627586592006,,,,
2002-06-01,2487.03981293423,2436.9948923383245,,,,
2002-07-01,2505.20444841295,2491.881740284704,,,,
2002-08-01,2501.63298587975,2510.629678238436,,,,
2002-09-01,2570.78489425408,2556.3729424267913,,,,
2002-10-01,2594.29962021876,2565.6047761435457,,,,
2002-11-01,2582.5214046767,2579.637876949831,,,,
2002-12-01,2538.3324886172,2567.259227191289,,,,
2003-01-01,2512.50534501143,2518.735888073171,,,,
2003-02-01,2495.1423043672,2543.695273135404,,,,
2003-03-01,2591.13914839945,2594.099833341123,,,,
2003-04-01,2621.81190149415,2591.624969534893,,,,
2003-05-01,2641.16737292794,2685.281169695312,,,,
2003-06-01,2664.06262376864,2716.5179077420544,,,,
2003-07-01,2664.99261545221,2680.1182819971386,,,,
2003-08-01,2677.40858347085,2685.5161826486815,,,,
2003-09-01,2578.96241729601,2628.252512450809,,,,
2003-10-01,2458.69375106418,2503.957083989998,,,,
2003-11-01,2588.76294300176,2592.432865769985,,,,
2003-12-01,2613.81515411589,2632.2247411991466,,,,
2004-01-01,2653.94903074096,2725.0218787916924,,,,
2004-02-01,2743.79483004485,2707.939802538724,,,,
2004-03-01,2708.26360267523,2727.695832593586,,,,
2004-04-01,2752.9638691099,2770.257194580667,,,,
2004-05-01,2717.28157008888,2722.2994542417414,,,,
2004-06-01,2833.70278847659,2828.3343987304743,,,,
2004-07-01,2788.52940274067,2757.1220519850854,,,,
2004-08-01,2783.36273566058,2742.0574626883063,,,,
2004-09-01,2778.42535814124,2783.9379408664204,,,,
2004-10-01,2654.43545114428,2731.970051315824,,,,
2004-11-01,2747.45709870561,2743.201574932602,,,,
2004-12-01,2751.61653566432,2786.9568895548923,,,,
2005-01-01,2570.85899155431,2715.302048855065,,,,
2005-02-01,2791.47920683606,2767.4435801722802,,,,
2005-03-01,2743.68598804638,2752.3820904103723,,,,
2005-04-01,2835.79029837839,2870.656369231235,,,,
2005-05-01,2718.56990429319,2781.316344668595,,,,
2005-06-01,2580.8985626024,2434.3437496217734,,,,
2005-07-01,2423.89708326747,2716.3091556201425,,,,
2005-08-01,1836.54455309194,2547.162806126807,,,,
2005-09-01,2549.92499934372,2186.5191110533865,,,,
2005-10-01,2625.8470427701,2529.6704073950505,,,,
2005-11-01,2626.04536439485,2491.4160690895037,,,,
2005-12-01,2626.32597355256,2481.1122047360145,,,,
2006-01-01,2566.18737351965,2456.5663285066917,,,,
2006-02-01,2358.01931288767,2357.463999713425,,,,
2006-03-01,2467.33874464584,2425.5053425516035,,,,
2006-04-01,2482.28816889919,2515.7442248568873,,,,
2006-05-01,2470.46663857,2387.826564933183,,,,
2006-06-01,2471.1035352861,2454.5143368925073,,,,
2006-07-01,2649.4168325068,2721.0074624830627,,,,
2006-08-01,2673.38715990909,2680.8814063685545,,,,
2006-09-01,2704.59156682525,2711.180841453567,,,,
2006-10-01,2731.0300302854,2702.6434803840957,,,,
2006-11-01,2698.76306588107,2707.6046379035183,,,,
2006-12-01,2631.12325090279,2679.8321023942894,,,,
2007-01-01,2697.40337805339,2726.9637361627642,,,,
2007-02-01,2379.84793239796,2558.5589326572594,,,,
2007-03-01,2774.65842062175,2676.2094338752668,,,,
2007-04-01,2769.19698656764,2671.4822277231497,,,,
2007-05-01,2877.1701900922,2874.2786615904874,,,,
2007-06-01,2806.72760115875,2788.192010928234,,,,
2007-07-01,2788.31697556163,2803.203287779723,,,,
2007-08-01,2788.41807892877,2837.3717526714936,,,,
