index_date,crude_steel_(thousand_ton),pig_iron_(thousand_ton)
1980-01-01,1220.1,1005.8
1980-02-01,1172.3,963.9
1980-03-01,1271.1,1048.4
1980-04-01,1250.1,1037.9
1980-05-01,1330,1095.8
1980-06-01,1266.6,1042.6
1980-07-01,1313.3,1093.1
1980-08-01,1289.4,1074
1980-09-01,1262.6,1050.2
1980-10-01,1351,1123.9
1980-11-01,1321,1085.4
1980-12-01,1289.6,1064.3
1981-01-01,1308.9,1070.4
1981-02-01,1197.6,981.6
1981-03-01,1296.3,1072.8
1981-04-01,1136.4,942.3
1981-05-01,1184.5,976.7
1981-06-01,1052.6,843.6
1981-07-01,980.9,814
1981-08-01,1012.4,843.7
1981-09-01,992.2,804
1981-10-01,1022.2,816
1981-11-01,970.3,761
1981-12-01,1071.2,865.1
1982-01-01,1073.4,852.8
1982-02-01,994.9,799.1
1982-03-01,1011.3,794.6
1982-04-01,976.6,803.6
1982-05-01,1071.4,891
1982-06-01,1055.7,864.4
1982-07-01,1238.1,1020.7
1982-08-01,1210.9,1029.2
1982-09-01,1174.7,1023.3
1982-10-01,1172.1,1016.5
1982-11-01,1069.2,926.4
1982-12-01,946.9,805.7
1983-01-01,1059.6,904.2
1983-02-01,917.7,801.5
1983-03-01,1128.4,988.2
1983-04-01,1159.9,990
1983-05-01,1246.4,1081.1
1983-06-01,1199.9,1056.9
1983-07-01,1278.2,1126.8
1983-08-01,1309.8,1158.4
1983-09-01,1286.7,1139.4
1983-10-01,1324.7,1173.3
1983-11-01,1313.5,1158.2
1983-12-01,1446.6,1366.6
1984-01-01,1464.5,1417.1
1984-02-01,1376.6,1331.2
1984-03-01,1522.6,1419.1
1984-04-01,1533.6,1414.8
1984-05-01,1590.9,1493.9
1984-06-01,1475.2,1390.1
1984-07-01,1581,1488.2
1984-08-01,1633.5,1550.3
1984-09-01,1514.6,1391.5
1984-10-01,1586,1482.4
1984-11-01,1527.7,1426.8
1984-12-01,1579.5,1424.3
1985-01-01,1490.1,1315.832
1985-02-01,1424.3,1255.037
1985-03-01,1669.4,1543.199
1985-04-01,1564.2,1457.942
1985-05-01,1760.3,1623.829
1985-06-01,1690.1,1601.867
1985-07-01,1857.9,1746.075
1985-08-01,1797.1,1678.672
1985-09-01,1775.6,1668.789
1985-10-01,1795.2,1716.019
1985-11-01,1765.2,1643.867
1985-12-01,1866.1,1709.507
1986-01-01,1769.4,1653.438
1986-02-01,1583.6,1511.527
1986-03-01,1738.2,1676.038
1986-04-01,1635.8,1661.596
1986-05-01,1819.3,1771.44
1986-06-01,1715.1,1610.263
1986-07-01,1667.3,1631.061
1986-08-01,1824.4,1743.145
1986-09-01,1891.2,1774.415
1986-10-01,1931.2,1840.449
1986-11-01,1788.6,1681.126
1986-12-01,1869.2,1713.158
