,idp,idp_fitted,0
2015-01-01,2711.5854606616,,
2015-02-01,4213.77493293543,,
2015-03-01,2460.67739950722,,
2015-04-01,4793.55566286521,,
2015-05-01,7287.58505386199,,
2015-06-01,6936.4033926468,,
2015-07-01,8349.30383344663,,
2015-08-01,4293.91305598754,,
2015-09-01,5970.22549506195,,
2015-10-01,4394.70855189682,,
2015-11-01,6248.17141487246,,
2015-12-01,6972.4330951444,,
2016-01-01,4522.96752429804,,
2016-02-01,6565.90080846519,,
2016-03-01,6365.80100608537,,
2016-04-01,8408.04563183404,,
2016-05-01,7653.50121675166,,
2016-06-01,5160.92677114956,,
2016-07-01,2489.05245028171,,
2016-08-01,6540.26061079445,,
2016-09-01,4905.08216863247,,
2016-10-01,6486.33449772568,,
2016-11-01,6384.24097298241,,
2016-12-01,8786.99777900568,,
2017-01-01,10659.4430285574,6276.97183139288,
2017-02-01,4469.4580930747,12618.68088681238,
2017-03-01,7838.94012076399,7082.937475709561,
2017-04-01,6829.87586955756,8364.400393157593,
2017-05-01,4690.85316431069,5373.733119871151,
2017-06-01,4648.97749911003,5468.782814880757,
2017-07-01,5942.41768818559,907.0779977626098,
2017-08-01,4075.92672726481,9869.041334403671,
2017-09-01,8883.62253326787,822.0403745765179,
2017-10-01,7192.32246883164,11735.723321133939,
2017-11-01,3835.51120827626,8448.216213420763,
2017-12-01,5.83274501827282,3858.409773938656,
2018-01-01,6911.99796098574,1311.3697544728348,
2018-02-01,6972.71088637393,1240.870438238706,
2018-03-01,6072.96294675949,12534.481155311305,
2018-04-01,4028.33524681745,3659.3205689780298,
2018-05-01,4219.9273941687,4370.126096218653,
2018-06-01,7228.31331286059,3150.3543359621617,
2018-07-01,5330.98276737035,4799.778113389604,
2018-08-01,8578.09499644715,9203.985532843028,
2018-09-01,6948.50556606854,11052.322967352502,
2018-10-01,6693.31307439187,4149.270093416078,
2018-11-01,8159.45997306335,1475.6268365371961,
2018-12-01,7352.50793612665,6200.435007674572,
2019-01-01,1785.62118434415,14962.846597164998,
2019-02-01,7571.51230772841,2731.2930608759543,
2019-03-01,2290.71268221141,4890.403825292557,
2019-04-01,6943.5257709246,2430.669751982645,
2019-05-01,10523.3992102082,3830.695014371742,
2019-06-01,1588.22053117947,11516.615608492295,
2019-07-01,6929.2652564371,5208.097615589835,
2019-08-01,9566.60295960463,6172.2685149359695,
2019-09-01,5194.16822050744,10555.22531340474,
2019-10-01,6607.12968668101,5465.465097139622,
2019-11-01,7736.29198699867,9061.671426633644,
2019-12-01,2732.47369489543,4693.76460418408,
2020-01-01,2492.72506166551,-842.3876015769947,
2020-02-01,4044.06495454112,8305.18305581268,
2020-03-01,6846.58188353419,6236.826770853556,
2020-04-01,3560.1608563058,7299.663117687283,
2020-05-01,4640.79459399487,5713.427545038725,
2020-06-01,5511.99136389329,-1903.3351170080623,
2020-07-01,6079.62573048416,8801.096329892214,
2020-08-01,810.518263260007,6103.704016213813,
2020-09-01,3184.18856443081,-1076.5952243387655,
2020-10-01,2216.3424097823,4241.15227226336,
2020-11-01,1979.18055894448,837.82126430879,
2020-12-01,3458.83945903246,-1750.8543556411169,
2021-01-01,,,17126.054226645003
2021-02-01,,,19410.80092364074
2021-03-01,,,14387.175911826473
2021-04-01,,,15270.157857662152
2021-05-01,,,18933.254220472263
2021-06-01,,,19662.45280242695
2021-07-01,,,21157.164041702374
2021-08-01,,,17605.47581283893
2021-09-01,,,18765.59536444125
2021-10-01,,,17559.933711936006
2021-11-01,,,20260.671420993185
2021-12-01,,,22842.321202826304
2022-01-01,,,20553.065121706142
